regime,feature,block,model_family,n,missing_pct,correlation,abs_correlation,univariate_beta,univariate_hac_t,univariate_r2,standardized_multivar_beta,multivar_hac_t,multivar_p,multivar_r2,drop_one_delta_r2,note,rank_by_abs_corr,rank_by_abs_t,rank_by_delta_r2
full,DGS10_d1,Macro,btc_ex_mvrv_full,1940,0.1539,0.019609,0.019609,0.012245,0.7609,0.000385,0.045281,1.2864,0.198307,0.145993,0.000833,ok,12,8,8
full,DGS2_d1,Macro,btc_ex_mvrv_full,1940,0.1539,0.012332,0.012332,0.007965,0.4882,0.000152,-0.013795,-0.3918,0.695194,0.145993,7.5e-05,ok,14,11,11
full,VIXCLS_d1,Macro,btc_ex_mvrv_full,1940,0.1539,-0.334955,0.334955,-0.00699,-12.641,0.112195,-0.17679,-4.6015,4e-06,0.145993,0.011607,ok,3,1,1
full,DTWEXBGS_d1,Macro,btc_ex_mvrv_full,1940,0.1539,-0.13621,0.13621,-0.012915,-5.2418,0.018553,-0.043697,-1.7448,0.081021,0.145993,0.001431,ok,4,6,6
full,DFF_d1,Macro,btc_ex_mvrv_full,1940,0.1539,-0.028804,0.028804,-0.376543,-1.0056,0.00083,-0.022425,-0.8744,0.381921,0.145993,0.000494,ok,9,10,9
full,spy_ret,TradFi,btc_ex_mvrv_full,1940,0.1539,0.339392,0.339392,1.113345,13.0545,0.115187,-0.009431,-0.1374,0.890687,0.145993,9e-06,ok,2,13,13
full,qqq_ret,TradFi,btc_ex_mvrv_full,1940,0.1539,0.34077,0.34077,0.856868,13.4501,0.116124,0.20373,3.3443,0.000825,0.145993,0.005398,ok,1,2,2
full,gld_ret,TradFi,btc_ex_mvrv_full,1940,0.1539,0.115319,0.115319,0.399188,4.38,0.013299,0.06783,2.6157,0.008904,0.145993,0.003646,ok,5,3,3
full,defi_tvl_usd_ret,Liquidity,btc_ex_mvrv_full,1940,0.1539,0.020766,0.020766,0.022696,0.7886,0.000431,0.036871,1.2994,0.193808,0.145993,0.001008,ok,10,7,7
full,stables_total_usd_ret,Liquidity,btc_ex_mvrv_full,1940,0.1539,0.013408,0.013408,0.082989,0.4247,0.00018,0.007374,0.2424,0.808506,0.145993,5.2e-05,ok,13,12,12
full,fng_value_d1,Sentiment,btc_ex_mvrv_full,1940,0.1539,-0.0297,0.0297,-0.000159,-1.2326,0.000882,-0.061591,-2.4877,0.012858,0.145993,0.002898,ok,8,4,4
full,cme_btc_basis_close_d1,BTC Native Flow,btc_ex_mvrv_full,1940,0.1539,0.045483,0.045483,4e-06,1.7824,0.002069,0.044674,1.8494,0.064397,0.145993,0.001984,ok,6,5,5
full,btc_exchange_netflow_d1,BTC Native Flow,btc_ex_mvrv_full,1940,0.1539,-0.020432,0.020432,-0.0,-0.6759,0.000417,0.001845,0.0685,0.945384,0.145993,3e-06,ok,11,14,14
full,btc_miner_to_exchange_flow_d1,BTC Native Flow,btc_ex_mvrv_full,1940,0.1539,-0.034227,0.034227,-0.0,-1.3049,0.001172,-0.021228,-0.9281,0.353337,0.145993,0.000443,ok,7,9,10
pre_btc_etf,DGS10_d1,Macro,btc_ex_mvrv_pre_btc_etf,1210,0.1774,0.002614,0.002614,0.001685,0.0856,7e-06,0.039246,0.964,0.335036,0.145455,0.000637,ok,14,8,8
pre_btc_etf,DGS2_d1,Macro,btc_ex_mvrv_pre_btc_etf,1210,0.1774,-0.014265,0.014265,-0.009837,-0.5216,0.000204,-0.020061,-0.5241,0.60019,0.145455,0.000168,ok,13,11,11
